"month","lat","lon"
1,53.93208916315419,-11.53845612907887
2,38.54216962046842,178.31904513802752
3,59.522807369311856,-1.3084469422475362
4,45.97996001303688,-55.906754386135596
5,55.57908319409405,-68.86250096007637
6,57.46815130593228,-9.911879073109775
7,53.252943294964375,-1.0927199393472344
8,53.93830781418327,-4.684417066967659
9,59.338971181275674,-25.440779949349423
10,54.750508201924895,-4.951177652364672
11,-26.32635296119843,170.6004461744937
12,-22.865815065453514,-169.37162217731432
