"key","common","track","km","edges","maxEdgeKm"
5228676,"Common swift","Afro-Palearctic",14062.50892368146,12,2228.0684897650685
2481765,"Red knot","Americas",7921.034172765001,12,2256.880863138173
2481765,"Red knot","global-BROKEN",8501.493852947831,12,1249.2430298478992
5229230,"Arctic tern","Atlantic",24115.042913999096,12,4093.1515964088258
