"month","lat"
1,-31.46162217412218
2,-39.49480999392572
3,-9.466481630952384
4,33.9964782705099
5,57.23420679163199
6,59.22258599781503
7,60.58139447671526
8,56.08398365840972
9,50.93477230893419
10,43.961070438417025
11,15.504608079255327
12,-16.817622211331567
