"month","lat","lon"
1,-38.390876116493615,-38.74386851518408
2,-39.51117965174016,-32.66142812930149
3,-5.571758812696923,-16.542946676054868
4,28.76581805141235,-13.128445853832005
5,55.82923382465793,-25.72337531557514
6,61.54701303751881,-27.044865982779477
7,62.35597174578542,-25.41839439488196
8,60.22130413612918,-23.463863789397884
9,54.7555060365934,-19.87193525712909
10,29.81888617390175,-21.61672496397774
11,6.858462589440745,-28.517903948924438
12,-16.39726097118788,-41.68868197739733
